    <force> 0.00018184 0.00010622 0.00881538 </force>
    <force> 0.00021515 -0.00567956 -0.00430428 </force>
    <force> 0.00018523 0.00579210 -0.00407725 </force>
    <force> -0.00021061 0.00000003 0.00862183 </force>
    <force> -0.00019210 -0.00571418 -0.00425109 </force>
    <force> -0.00019208 0.00571457 -0.00425109 </force>
    <force> -0.00000043 -0.03080993 0.00624089 </force>
    <force> -0.00000006 0.01078978 0.00881106 </force>
    <force> -0.00000092 0.02021470 -0.01488185 </force>
    <force> 0.00000001 0.03081132 0.00624298 </force>
    <force> 0.00000000 -0.02021445 -0.01488273 </force>
    <force> -0.00000001 -0.01079248 0.00881278 </force>
    <force> 0.00000002 -0.00000420 -0.01260138 </force>
    <force> -0.00000000 0.00403176 0.00638429 </force>
    <force> -0.00000000 -0.00402754 0.00637976 </force>
    <force> 0.00000000 0.00000024 0.02786021 </force>
    <force> 0.00000001 -0.01382228 -0.01406677 </force>
    <force> 0.00000001 0.01382230 -0.01406604 </force>
    <force> 0.00019199 0.00026206 0.00821342 </force>
    <force> -0.00018865 -0.00577767 -0.00422528 </force>
    <force> 0.00000316 0.00551541 -0.00402282 </force>
    <force> -0.00018780 0.00026210 0.00821041 </force>
    <force> 0.00019009 -0.00577697 -0.00422456 </force>
    <force> -0.00000301 0.00551501 -0.00402241 </force>
    <force> -0.00000018 0.01468938 0.01602682 </force>
    <force> -0.00000055 -0.02158152 -0.01346657 </force>
    <force> 0.00000085 0.00689154 -0.00260102 </force>
    <force> -0.00000001 -0.01631189 -0.00188150 </force>
    <force> -0.00000001 0.01229584 0.00733975 </force>
    <force> 0.00000000 0.00401537 -0.00549028 </force>
    <force> -0.00000000 0.01113765 0.01807029 </force>
    <force> 0.00000001 -0.01524369 -0.01360683 </force>
    <force> 0.00000000 0.00410902 -0.00450398 </force>
    <force> 0.00000001 -0.01249325 -0.00238756 </force>
    <force> -0.00000000 0.00549665 0.00589483 </force>
    <force> 0.00000000 0.00699398 -0.00354181 </force>
    <force> 0.00018977 -0.00026074 0.00820882 </force>
    <force> 0.00000342 -0.00551731 -0.00402456 </force>
    <force> -0.00018942 0.00577676 -0.00422446 </force>
    <force> -0.00018780 -0.00026251 0.00821040 </force>
    <force> -0.00000301 -0.00551490 -0.00402259 </force>
    <force> 0.00019009 0.00577710 -0.00422439 </force>
    <force> -0.00000021 0.01631316 -0.00188129 </force>
    <force> 0.00000092 -0.00401693 -0.00549203 </force>
    <force> -0.00000028 -0.01229731 0.00734015 </force>
    <force> -0.00000001 -0.01468936 0.01602687 </force>
    <force> 0.00000000 -0.00689350 -0.00260300 </force>
    <force> -0.00000000 0.02158151 -0.01346606 </force>
    <force> -0.00000000 -0.01113817 0.01807082 </force>
    <force> 0.00000000 -0.00410617 -0.00450030 </force>
    <force> 0.00000001 0.01524138 -0.01360472 </force>
    <force> 0.00000001 0.01249260 -0.00238688 </force>
    <force> 0.00000000 -0.00699389 -0.00354195 </force>
    <force> -0.00000000 -0.00549625 0.00589430 </force>
